spu_code,country,product_id
S240425006405,FR,1729480023651686968
S240229001508,ES,1729483330612402446
S240417002211,FR,1729497727006448376
S230719005049,ES,1729493312665459041
S240123000621,ES,1729512048974273198
S230629000118,FR,1729492268104915809
S240701005759,DE,1729480932862171661
S240325001637,ES,1729485946117725180
S240408000462,ES,1729480028320798990
S240109003042,MX,1731770253162744651
S230829001353,GB,1729401093657300654
S240514005219,GB,1729409443591392942
S240605000978,ES,1729518386503326539
S240109003547,ES,1729480368037141323
S240502000399,MX,1731871558541871947
S240607001889,IT,1729480646111303879
S231113003632,FR,1729508643087358712
S230925002301,ES,1729519037701593774
S230608000849,FR,1729525377453693614
S240229005984,ES,1729487586909919294
S230608000849,ES,1729525377617861294
S231019000115,ES,1729488764228180474
S240514002232,FR,1729480664446376135
S230906007600,FR,1729527530800716536
S230710004568,GB,1729400730809175832
S231211002400,FR,1729557644744628984
S230906007600,DE,1729527534821219064
S240619007543,FR,1729482193767537319
S240419006151,MX,1731799468737989382
S240510005500,MX,1731766822218009596
S231213006423,FR,1729501434139482791
S240320007505,GB,1729406611925274279
S240702005997,ES,1729482092048718211
S230818002845,IT,1729529551797328558
S240605000978,MX,1731477456912418635
S240328007779,FR,1729498222049073838
S240430003648,ES,1729503091686611704
S231127003544,ES,1729506954048936696
S230708003072,FR,1729480113206696699
S231028002041,ES,1729547981712628084
S240516001053,IT,1729480530471065799
S230628004022,FR,1729480151814740731
S240516000802,FR,1729481197715888327
S240113002048,FR,1729480583017175883
S230925002398,IT,1729480233222904651
S230925002301,DE,1729519032896035502
